208151,213552
894316,846444
790852,721176
850720,641560
173764,166539
297007,297014
14929,577300
854441,870595
398473,398469
275688,243032
108040,107042
735429,735457
715017,715007
52513,667738
372717,366169
45403,45411
18297,18284
436948,456095
914437,914489
848924,924972
719846,719464
441105,441128
622581,40723
194947,345866
733816,733870
47511,47486
444127,444108
753654,609904
627741,64713
250834,324660
897453,830555
943299,943280
626359,626378
17810,35227
115053,156815
454436,454447
402224,399579
31317,912552
650171,650274
624256,635802
296327,280704
382978,391599
858737,858649
899896,899915
870740,870779
794356,794378
915065,26910
62211,753640
183925,183918
105356,105350
218291,217920
843072,842828
608731,608741
123160,123149
852867,852886
254206,256501
756209,756209
912471,912476
940445,940441
827077,827089
4571,4576
704045,704047
272635,240117
586556,540390
473323,473349
495540,493618
92803,45722
208722,218942
892982,892819
820333,28232
344575,344612
538773,538247
166487,166496
379335,362949
742119,842322
439443,425343
930788,24092
810594,810284
68887,793303
69429,69414
262124,310120
385397,385358
404747,404731
931995,932704
505326,506608
908879,908867
272114,261277
452004,422765
239159,239173
278180,216017
155193,165452
768376,768410
509402,728494
929286,928940
428624,428624
586737,611685
841357,841299
288861,302452
267526,311446
632729,632536
